Total Number of Peeps,Number of Rolls,Infection Total,Death Total,Death Homebody Peeps,Death Semihomie Peeps,Death Outgoer Peeps,Percentage of Homebody Peeps Dead,Percentage of Semihomie Peeps Dead,Percentage of Outgoer Peeps Dead,Percentage of Homebody Peeps Alive,Percentage of Semihomie Peeps Alive,Percentage of Outgoer Peeps Alive
3000.00,1000.00,466.00,35.00,6.00,7.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,519.00,28.00,4.00,16.00,8.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,480.00,34.00,7.00,15.00,12.00,0.01,0.01,0.01,0.99,0.98,0.99
3000.00,1000.00,569.00,39.00,6.00,12.00,21.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,583.00,33.00,5.00,17.00,11.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,471.00,30.00,3.00,8.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,486.00,35.00,10.00,10.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,471.00,38.00,14.00,9.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,559.00,38.00,2.00,14.00,22.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,501.00,26.00,5.00,9.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,514.00,29.00,5.00,13.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,513.00,34.00,5.00,11.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,458.00,28.00,4.00,14.00,10.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,603.00,49.00,5.00,24.00,20.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,626.00,50.00,9.00,15.00,26.00,0.01,0.01,0.03,0.99,0.98,0.97
3000.00,1000.00,486.00,20.00,5.00,4.00,11.00,0.01,0.00,0.01,0.99,1.00,0.99
3000.00,1000.00,605.00,36.00,2.00,11.00,23.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,595.00,28.00,6.00,10.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,666.00,36.00,6.00,17.00,13.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,510.00,29.00,7.00,11.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
